network,station,channel,starttime,endtime,gaps
NP,WLNG,BNY,2023-04-28T15:12:53.138742Z,2023-04-28T15:12:54.171000Z,1.032
NP,WLNG,BNY,2023-04-28T15:23:47.513806Z,2023-04-28T15:23:48.029935Z,0.516
NP,WLNG,BNY,2023-04-28T15:24:50.481548Z,2023-04-28T15:24:51.513806Z,1.032
NP,WLNG,BNY,2023-04-28T15:37:39.598419Z,2023-04-28T15:38:15.791968Z,36.194
NP,WLNG,BNY,2023-04-28T15:43:35.292226Z,2023-04-28T15:43:36.324484Z,1.032
NP,WLNG,BNY,2023-04-28T15:59:47.134387Z,2023-04-28T15:59:48.166645Z,1.032
NP,WLNG,BNY,2023-04-28T16:00:43.456968Z,2023-04-28T16:00:44.069871Z,0.613
NP,WLNG,BNY,2023-04-28T16:08:53.533065Z,2023-04-28T16:08:54.049194Z,0.516
NP,WLNG,BNY,2023-04-28T16:25:38.637419Z,2023-04-28T16:25:50.056774Z,11.419
NP,WLNG,BNY,2023-04-29T03:37:49.753323Z,2023-04-29T03:38:25.946871Z,36.194
NP,WLNG,BNY,2023-04-29T15:03:03.641290Z,2023-04-29T15:03:04.641290Z,1.0
NP,WLNG,BNY,2023-04-29T15:03:10.802580Z,2023-04-29T15:03:11.221935Z,0.419
NP,WLNG,BNY,2023-04-29T15:37:59.230677Z,2023-04-29T15:38:26.424226Z,27.194
NP,UMNG,BNY,2023-04-26T04:41:15.072101Z,2023-04-26T04:51:18.377638Z,603.306
NP,UMNG,BNY,2023-04-26T05:52:49.024101Z,2023-04-26T05:52:50.048101Z,1.024
NP,UMNG,BNY,2023-04-26T06:54:43.231466Z,2023-04-26T07:03:03.732000Z,500.501
NP,UMNG,BNY,2023-04-26T07:09:12.344903Z,2023-04-26T07:09:20.884000Z,8.539
NP,UMNG,BNY,2023-04-26T07:09:21.916258Z,2023-04-26T07:12:03.851742Z,161.935
NP,UMNG,BNY,2023-04-26T07:12:04.884000Z,2023-04-26T07:12:19.271097Z,14.387
NP,UMNG,BNY,2023-04-26T07:39:58.777194Z,2023-04-26T07:39:58.751000Z,-0.026
NP,UMNG,BNY,2023-04-26T07:59:59.038161Z,2023-04-26T07:59:59.011000Z,-0.027
NP,UMNG,BNY,2023-04-26T08:32:52.027742Z,2023-04-26T08:32:52.737419Z,0.71
NP,UMNG,BNY,2023-04-26T09:08:58.127839Z,2023-04-26T09:13:03.185000Z,245.057
NP,UMNG,BNY,2023-04-26T10:39:49.754000Z,2023-04-26T10:39:56.979806Z,7.226
NP,UMNG,BNY,2023-04-26T10:59:11.495581Z,2023-04-26T10:59:13.398807Z,1.903
NP,UMNG,BNY,2023-04-26T11:28:37.751645Z,2023-04-27T03:44:12.358000Z,58534.606
NP,UMNG,BNY,2023-04-27T03:45:25.680581Z,2023-04-27T03:45:25.652000Z,-0.029
NP,UMNG,BNY,2023-04-27T05:25:53.754484Z,2023-04-27T05:25:53.727000Z,-0.027
NP,UMNG,BNY,2023-04-27T06:50:44.304742Z,2023-04-27T06:50:47.498290Z,3.194
NP,UMNG,BNY,2023-04-27T07:04:37.235774Z,2023-04-27T07:04:39.655129Z,2.419
NP,UMNG,BNY,2023-04-27T07:06:07.235774Z,2023-04-27T07:06:07.206000Z,-0.03
NP,UMNG,BNY,2023-04-27T07:08:07.367290Z,2023-04-27T07:08:17.367290Z,10.0
NP,UMNG,BNY,2023-04-27T07:08:18.399548Z,2023-04-27T07:08:27.206000Z,8.806
NP,UMNG,BNY,2023-04-27T07:08:28.238258Z,2023-04-27T07:08:30.076968Z,1.839
NP,UMNG,BNY,2023-04-27T07:26:07.903677Z,2023-04-27T07:26:07.874000Z,-0.03
NP,UMNG,BNY,2023-04-27T08:56:25.154419Z,2023-04-27T08:56:25.127000Z,-0.027
NP,UMNG,BNY,2023-04-27T09:16:30.602677Z,2023-04-27T09:16:30.576000Z,-0.027
NP,UMNG,BNY,2023-04-27T11:17:31.656452Z,2023-04-28T00:52:13.029000Z,48881.373
NP,UMNG,BNY,2023-04-28T00:53:00.867710Z,2023-04-28T00:53:03.448355Z,2.581
NP,UMNG,BNY,2023-04-28T01:10:00.577419Z,2023-04-28T01:10:00.548000Z,-0.029
NP,UMNG,BNY,2023-04-28T01:50:08.396419Z,2023-04-28T01:50:08.368000Z,-0.028
NP,UMNG,BNY,2023-04-28T03:50:49.879677Z,2023-04-28T03:50:48.854000Z,-1.026
NP,UMNG,BNY,2023-04-28T04:00:52.595935Z,2023-04-28T04:00:51.574000Z,-1.022
NP,UMNG,BNY,2023-04-28T04:10:53.251419Z,2023-04-28T04:10:51.210000Z,-2.041
NP,UMNG,BNY,2023-04-28T04:20:53.951935Z,2023-04-28T04:20:53.925000Z,-0.027
NP,UMNG,BNY,2023-04-28T05:51:52.992000Z,2023-04-28T05:51:55.217806Z,2.226
NP,UMNG,BNY,2023-04-28T05:51:56.250064Z,2023-04-28T05:51:57.121032Z,0.871
NP,UMNG,BNY,2023-04-28T06:13:35.184452Z,2023-04-28T06:13:50.184452Z,15.0
NP,UMNG,BNY,2023-04-28T06:13:51.216710Z,2023-04-28T06:13:51.474774Z,0.258
NP,UMNG,BNY,2023-04-28T07:21:00.111677Z,2023-04-28T07:21:00.083000Z,-0.029
NP,UMNG,BNY,2023-04-28T07:30:57.728161Z,2023-04-28T07:30:55.664000Z,-2.064
NP,UMNG,BNY,2023-04-28T07:40:17.664000Z,2023-04-29T08:30:03.448000Z,89385.784
NP,UMNG,BNY,2023-04-29T08:30:56.415742Z,2023-04-29T08:31:02.835097Z,6.419
NP,UMNG,BNY,2023-04-29T08:31:04.867355Z,2023-04-29T08:31:05.867355Z,1.0
NP,UMNG,BNY,2023-04-29T08:31:10.964129Z,2023-04-29T08:31:11.964129Z,1.0
NP,UMNG,BNY,2023-04-29T08:31:12.996387Z,2023-04-29T08:31:22.480258Z,9.484
NP,UMNG,BNY,2023-04-29T10:22:18.750452Z,2023-04-29T10:22:19.814968Z,1.065
NP,UMNG,BNY,2023-04-29T11:00:24.322677Z,2023-04-29T11:00:25.354935Z,1.032
NP,UMNG,BNY,2023-04-29T11:16:55.937000Z,2023-04-29T11:16:56.937000Z,1.0
NP,UMNG,BNY,2023-04-29T11:17:16.291839Z,2023-04-29T11:17:32.420871Z,16.129
NP,UMNG,BNY,2023-04-29T11:17:33.453129Z,2023-04-29T11:17:39.646677Z,6.194
NP,UMNG,BNY,2023-04-29T11:18:57.130548Z,2023-04-29T11:18:57.840226Z,0.71
NP,UMNG,BNY,2023-04-29T11:19:40.614420Z,2023-04-29T11:19:47.420871Z,6.806
NP,UMNG,BNY,2023-04-29T11:23:53.775710Z,2023-04-29T11:23:54.775710Z,1.0
NP,UMNG,BNY,2023-04-29T11:27:28.575871Z,2023-04-29T11:27:29.221032Z,0.645
NP,UMNG,BNY,2023-04-29T11:29:19.285548Z,2023-04-29T11:38:42.546000Z,563.26
NP,UMNG,BNY,2023-04-29T11:38:53.771806Z,2023-04-29T11:38:54.062129Z,0.29
NP,UMNG,BNY,2023-04-29T11:55:15.540419Z,2023-04-29T11:55:15.512000Z,-0.028
